Player,Position,Team
Precious Achiuwa,SF,Toronto Raptors
Steven Adams,C,Memphis Grizzlies
Bam Adebayo,C,Miami Heat
Ochai Agbaji,SF,Utah Jazz
Santi Aldama,C,Memphis Grizzlies
Nickeil Alexander-Walker,SG,Utah Jazz
Grayson Allen,SG,Milwaukee Bucks
Jarrett Allen,C,Cleveland Cavaliers
Jose Alvarado,G,New Orleans Pelicans
Kyle Anderson,PF,Minnesota Timberwolves
Giannis Antetokounmpo,F,Milwaukee Bucks
Kostas Antetokounmpo,PF,Chicago Bulls
Thanasis Antetokounmpo,SF,Milwaukee Bucks
Cole Anthony,PG,Orlando Magic
OG Anunoby,SF,Toronto Raptors
Ryan Arcidiacono,G,New York Knicks
Deni Avdija,SG,Washington Wizards
Deandre Ayton,C,Phoenix Suns
Udoka Azubuike,C,Utah Jazz
Marvin Bagley III,PF,Detroit Pistons
"Patrick Baldwin, Jr.",SG,Golden State Warriors
LaMelo Ball,G,Charlotte Hornets
Lonzo Ball,PG,Chicago Bulls
Mo Bamba,C,Orlando Magic
Paolo Banchero,C,Orlando Magic
Desmond Bane,SG,Memphis Grizzlies
Dalano Banton,PG,Toronto Raptors
Dominick Barlow,F,San Antonio Spurs
Harrison Barnes,SF,Sacramento Kings
Scottie Barnes,SF,Toronto Raptors
RJ Barrett,SG,New York Knicks
Will Barton,GF,Washington Wizards
Keita Bates-Diop,SF,San Antonio Spurs
Nicolas Batum,F,Los Angeles Clippers
Darius Bazley,PF,Oklahoma City Thunder
Bradley Beal,SG,Washington Wizards
Malik Beasley,SG,Utah Jazz
MarJon Beauchamp,SG,Milwaukee Bucks
Dāvis Bertāns,SF,Dallas Mavericks
Patrick Beverley,PG,Los Angeles Lakers
Saddiq Bey,F,Detroit Pistons
Khem Birch,PF,Toronto Raptors
Goga Bitadze,C,Indiana Pacers
Bismack Biyombo,PF,Phoenix Suns
Buddy Boeheim,SG,Detroit Pistons
Bogdan Bogdanović,SG,Atlanta Hawks
Bojan Bogdanović,F,Detroit Pistons
Bol Bol,C,Orlando Magic
Leandro Bolmaro,SG,Utah Jazz
Devin Booker,SG,Phoenix Suns
"B.J. Boston, Jr.",SG,Los Angeles Clippers
Chris Boucher,PF,Toronto Raptors
James Bouknight,G,Charlotte Hornets
Tony Bradley,C,Chicago Bulls
Malaki Branham,GF,San Antonio Spurs
Christian Braun,SF,Denver Nuggets
Mikal Bridges,SG,Phoenix Suns
Oshae Brissett,PF,Indiana Pacers
Malcolm Brogdon,SG,Boston Celtics
Dillon Brooks,F,Memphis Grizzlies
Greg Brown III,SF,Portland Trail Blazers
Jaylen Brown,SF,Boston Celtics
Bruce Brown,SG,Denver Nuggets
Troy Brown Jr.,SF,Los Angeles Lakers
Kendall Brown,G,Indiana Pacers
Moses Brown,C,Los Angeles Clippers
Jalen Brunson,PG,New York Knicks
Thomas Bryant,C,Los Angeles Lakers
Reggie Bullock,SG,Dallas Mavericks
Alec Burks,SG,Detroit Pistons
Jimmy Butler,GF,Miami Heat
Jamal Cain,F,Miami Heat
Kentavious Caldwell-Pope,SG,Denver Nuggets
Facundo Campazzo,PG,Dallas Mavericks
Vlatko Cancar,SF,Denver Nuggets
Clint Capela,PF,Atlanta Hawks
"Vernon Carey, Jr.",PF,Washington Wizards
Jevon Carter,PG,Milwaukee Bucks
Wendell Carter Jr.,PF,Orlando Magic
Alex Caruso,G,Chicago Bulls
Julian Champagnie,F,Philadelphia Sixers
Justin Champagnie,F,Toronto Raptors
Kennedy Chandler,PG,Memphis Grizzlies
Max Christie,F,Los Angeles Lakers
Josh Christopher,G,Houston Rockets
Brandon Clarke,PF,Memphis Grizzlies
Jordan Clarkson,G,Utah Jazz
Nic Claxton,C,Brooklyn Nets
Amir Coffey,SF,Los Angeles Clippers
John Collins,PF,Atlanta Hawks
Zach Collins,C,San Antonio Spurs
Mike Conley,PG,Utah Jazz
Pat Connaughton,SF,Milwaukee Bucks
Robert Covington,F,Los Angeles Clippers
Torrey Craig,GF,Phoenix Suns
Jae Crowder,SF,Phoenix Suns
Jarrett Culver,SG,Atlanta Hawks
Cade Cunningham,SF,Detroit Pistons
Seth Curry,G,Brooklyn Nets
Stephen Curry,G,Golden State Warriors
Dyson Daniels,GF,New Orleans Pelicans
Anthony Davis,PF,Los Angeles Lakers
Johnny Davis,F,Washington Wizards
Terence Davis,SF,Sacramento Kings
J.D. Davison,F,Boston Celtics
Darius Days,PF,Houston Rockets
DeMar DeRozan,GF,Chicago Bulls
Dewayne Dedmon,PF,Miami Heat
Matt Dellavedova,G,Sacramento Kings
Donte DiVincenzo,SG,Golden State Warriors
Moussa Diabate,PF,Los Angeles Clippers
Mamadi Diakite,PF,Cleveland Cavaliers
Hamidou Diallo,SG,Detroit Pistons
Gorgui Dieng,FC,San Antonio Spurs
Ousmane Dieng,SG,Oklahoma City Thunder
Spencer Dinwiddie,PG,Dallas Mavericks
Luka Dončić,SF,Dallas Mavericks
Tyler Dorsey,SG,Dallas Mavericks
Luguentz Dort,PG,Oklahoma City Thunder
Ayo Dosunmu,PG,Chicago Bulls
Jeff Dowtin,PG,Toronto Raptors
Goran Dragić,G,Chicago Bulls
Andre Drummond,C,Chicago Bulls
Chris Duarte,PG,Indiana Pacers
David Duke Jr.,SG,Brooklyn Nets
Kevin Durant,SF,Brooklyn Nets
Jalen Duren,PF,Detroit Pistons
Tari Eason,F,Houston Rockets
Anthony Edwards,SF,Minnesota Timberwolves
Kessler Edwards,SG,Brooklyn Nets
Keon Ellis,F,Sacramento Kings
Joel Embiid,C,Philadelphia Sixers
Drew Eubanks,C,Portland Trail Blazers
Bruno Fernando,C,Houston Rockets
Dorian Finney-Smith,SF,Dallas Mavericks
Malachi Flynn,PG,Toronto Raptors
Simone Fontecchio,SF,Utah Jazz
Bryn Forbes,G,Minnesota Timberwolves
Trent Forrest,SG,Atlanta Hawks
"Michael Foster, Jr.",PF,Philadelphia Sixers
Evan Fournier,SG,New York Knicks
De'Aaron Fox,PG,Sacramento Kings
Markelle Fultz,PG,Orlando Magic
Wenyen Gabriel,PF,Los Angeles Lakers
Daniel Gafford,C,Washington Wizards
Danilo Gallinari,SF,Boston Celtics
Darius Garland,G,Cleveland Cavaliers
Usman Garuba,C,Houston Rockets
Luka Garza,C,Minnesota Timberwolves
Rudy Gay,SF,Utah Jazz
Paul George,GF,Los Angeles Clippers
Taj Gibson,F,Washington Wizards
Josh Giddey,G,Oklahoma City Thunder
Shai Gilgeous-Alexander,PG,Oklahoma City Thunder
Anthony Gill,PF,Washington Wizards
Collin Gillespie,PG,Denver Nuggets
Rudy Gobert,C,Minnesota Timberwolves
Jordan Goodwin,SG,Washington Wizards
Aaron Gordon,F,Denver Nuggets
Eric Gordon,G,Houston Rockets
Devonte' Graham,PG,New Orleans Pelicans
Jerami Grant,F,Portland Trail Blazers
A.J. Green,PG,Milwaukee Bucks
Danny Green,SF,Memphis Grizzlies
Draymond Green,F,Golden State Warriors
JaMychal Green,PF,Golden State Warriors
Jalen Green,SG,Houston Rockets
Javonte Green,G,Chicago Bulls
Jeff Green,F,Denver Nuggets
Josh Green,SG,Dallas Mavericks
Blake Griffin,PF,Boston Celtics
AJ Griffin,SG,Atlanta Hawks
Quentin Grimes,SG,New York Knicks
Rui Hachimura,F,Washington Wizards
Tyrese Haliburton,PG,Indiana Pacers
Jordan Hall,F,San Antonio Spurs
R.J. Hampton,G,Orlando Magic
Tim Hardaway Jr.,SG,Dallas Mavericks
James Harden,SG,Philadelphia Sixers
Jaden Hardy,SG,Dallas Mavericks
Ron Harper,G,Toronto Raptors
Montrezl Harrell,F,Philadelphia Sixers
Gary Harris,SG,Orlando Magic
Joe Harris,SG,Brooklyn Nets
Kevon Harris,SF,Orlando Magic
Tobias Harris,F,Philadelphia Sixers
Josh Hart,SG,Portland Trail Blazers
Isaiah Hartenstein,PF,New York Knicks
Udonis Haslem,FC,Miami Heat
Sam Hauser,SF,Boston Celtics
Jaxson Hayes,PF,New Orleans Pelicans
Killian Hayes,G,Detroit Pistons
Gordon Hayward,GF,Charlotte Hornets
Juancho Hernangómez,F,Toronto Raptors
Willy Hernangómez,C,New Orleans Pelicans
Tyler Herro,SG,Miami Heat
Buddy Hield,G,Indiana Pacers
Haywood Highsmith,F,Miami Heat
George Hill,G,Milwaukee Bucks
Malcolm Hill,G,Chicago Bulls
Aaron Holiday,PG,Atlanta Hawks
Jrue Holiday,G,Milwaukee Bucks
Justin Holiday,SF,Atlanta Hawks
Richaun Holmes,F,Sacramento Kings
Chet Holmgren,C,Oklahoma City Thunder
Al Horford,FC,Boston Celtics
Talen Horton-Tucker,SF,Utah Jazz
Danuel House Jr.,F,Philadelphia Sixers
Caleb Houstan,SF,Orlando Magic
Trevor Hudgins,G,Houston Rockets
Kevin Huerter,SF,Sacramento Kings
Feron Hunt,SF,New York Knicks
De'Andre Hunter,PF,Atlanta Hawks
Bones Hyland,G,Denver Nuggets
Serge Ibaka,C,Milwaukee Bucks
Andre Iguodala,SF,Golden State Warriors
Joe Ingles,F,Milwaukee Bucks
Brandon Ingram,SF,New Orleans Pelicans
Kyrie Irving,G,Brooklyn Nets
Jonathan Isaac,SF,Orlando Magic
Jaden Ivey,G,Detroit Pistons
Isaiah Jackson,PF,Indiana Pacers
Jaren Jackson Jr.,PF,Memphis Grizzlies
Justin Jackson,F,Boston Celtics
Reggie Jackson,G,Los Angeles Clippers
LeBron James,F,Los Angeles Lakers
Ty Jerome,PG,Golden State Warriors
Isaiah Joe,SG,Oklahoma City Thunder
Cameron Johnson,G,Phoenix Suns
Jalen Johnson,PF,Atlanta Hawks
James Johnson,F,Indiana Pacers
Keldon Johnson,SF,San Antonio Spurs
Keon Johnson,PG,Portland Trail Blazers
Nikola Jokić,C,Denver Nuggets
Damian Jones,PF,Los Angeles Lakers
Derrick Jones Jr.,SF,Chicago Bulls
Herbert Jones,SF,New Orleans Pelicans
Kai Jones,PF,Charlotte Hornets
Tre Jones,PG,San Antonio Spurs
Tyus Jones,PG,Memphis Grizzlies
DeAndre Jordan,C,Denver Nuggets
Cory Joseph,PG,Detroit Pistons
Nikola Jovic,F,Miami Heat
Johnny Juzang,SG,Utah Jazz
Mfiondu Kabengele,SF,Boston Celtics
Frank Kaminsky,F,Atlanta Hawks
Trevor Keels,PG,New York Knicks
Luke Kennard,SG,Los Angeles Clippers
Walker Kessler,C,Utah Jazz
Braxton Key,SF,Detroit Pistons
Corey Kispert,SF,Washington Wizards
Maxi Kleber,PF,Dallas Mavericks
Nathan Knight,PF,Minnesota Timberwolves
Kevin Knox,SF,Detroit Pistons
Christian Koloko,C,Toronto Raptors
John Konchar,G,Memphis Grizzlies
Furkan Korkmaz,SG,Philadelphia Sixers
Luke Kornet,F,Boston Celtics
Vit Krejci,PG,Atlanta Hawks
Jonathan Kuminga,F,Golden State Warriors
Kyle Kuzma,F,Washington Wizards
Jake LaRavia,F,Memphis Grizzlies
Zach LaVine,SG,Chicago Bulls
Anthony Lamb,PF,Golden State Warriors
Jock Landale,C,Phoenix Suns
Romeo Langford,SG,San Antonio Spurs
Caris LeVert,G,Cleveland Cavaliers
Damion Lee,G,Phoenix Suns
Alex Len,C,Sacramento Kings
Kawhi Leonard,F,Los Angeles Clippers
Kira Lewis Jr.,PG,New Orleans Pelicans
E.J. Liddell,PF,New Orleans Pelicans
Damian Lillard,G,Portland Trail Blazers
Nassir Little,SF,Portland Trail Blazers
Isaiah Livers,PF,Detroit Pistons
"Kenny Lofton, Jr.",F,Memphis Grizzlies
Kevon Looney,PF,Golden State Warriors
Brook Lopez,C,Milwaukee Bucks
Robin Lopez,FC,Cleveland Cavaliers
Kevin Love,FC,Cleveland Cavaliers
Kyle Lowry,PG,Miami Heat
Trey Lyles,SF,Sacramento Kings
Théo Maledon,PG,Charlotte Hornets
Sandro Mamukelashvili,F,Milwaukee Bucks
Terance Mann,SG,Los Angeles Clippers
Tre Mann,PG,Oklahoma City Thunder
Boban Marjanović,C,Houston Rockets
Lauri Markkanen,SF,Utah Jazz
Naji Marshall,SF,New Orleans Pelicans
Caleb Martin,F,Miami Heat
Cody Martin,F,Charlotte Hornets
Kenyon Martin Jr.,F,Houston Rockets
Tyrese Martin,GF,Atlanta Hawks
Garrison Mathews,SG,Houston Rockets
Benedict Mathurin,GF,Indiana Pacers
Wesley Matthews,G,Milwaukee Bucks
Tyrese Maxey,PG,Philadelphia Sixers
Miles McBride,G,New York Knicks
CJ McCollum,G,New Orleans Pelicans
T.J. McConnell,G,Indiana Pacers
Jaden McDaniels,F,Minnesota Timberwolves
Jalen McDaniels,PF,Charlotte Hornets
Doug McDermott,F,San Antonio Spurs
JaVale McGee,C,Dallas Mavericks
Bryce McGowens,GF,Charlotte Hornets
Rodney McGruder,SG,Detroit Pistons
Jordan McLaughlin,G,Minnesota Timberwolves
De'Anthony Melton,SG,Philadelphia Sixers
Chimezie Metu,PF,Sacramento Kings
Khris Middleton,SF,Milwaukee Bucks
Patty Mills,G,Brooklyn Nets
Shake Milton,SG,Philadelphia Sixers
Josh Minott,F,Minnesota Timberwolves
Davion Mitchell,PG,Sacramento Kings
Donovan Mitchell,SG,Cleveland Cavaliers
Evan Mobley,PF,Cleveland Cavaliers
Isaiah Mobley,SF,Cleveland Cavaliers
Chima Moneke,F,Sacramento Kings
Malik Monk,SG,Sacramento Kings
Moses Moody,SG,Golden State Warriors
"Wendell Moore, Jr.",SF,Minnesota Timberwolves
Ja Morant,G,Memphis Grizzlies
Marcus Morris,F,Los Angeles Clippers
Markieff Morris,PF,Brooklyn Nets
Monte Morris,G,Washington Wizards
Trey Murphy III,G,New Orleans Pelicans
Dejounte Murray,SG,Atlanta Hawks
Jamal Murray,SG,Denver Nuggets
Keegan Murray,F,Sacramento Kings
Mike Muscala,FC,Oklahoma City Thunder
Svi Mykhailiuk,SF,New York Knicks
Larry Nance Jr.,SF,New Orleans Pelicans
Andrew Nembhard,PG,Indiana Pacers
Aaron Nesmith,F,Indiana Pacers
Raul Neto,PG,Cleveland Cavaliers
Georges Niang,F,Philadelphia Sixers
Daishen Nix,GF,Houston Rockets
Zeke Nnaji,PF,Denver Nuggets
Nerlens Noel,FC,Detroit Pistons
Jaylen Nowell,SG,Minnesota Timberwolves
Frank Ntilikina,PG,Dallas Mavericks
Kendrick Nunn,SG,Los Angeles Lakers
Jusuf Nurkić,FC,Portland Trail Blazers
Jordan Nwora,F,Milwaukee Bucks
Royce O'Neale,SF,Brooklyn Nets
Chuma Okeke,PF,Orlando Magic
Josh Okogie,SG,Phoenix Suns
Onyeka Okongwu,PF,Atlanta Hawks
Isaac Okoro,SG,Cleveland Cavaliers
KZ Okpala,SG,Sacramento Kings
Victor Oladipo,G,Miami Heat
Kelly Olynyk,C,Utah Jazz
Eugene Omoruyi,F,Oklahoma City Thunder
Cedi Osman,GF,Cleveland Cavaliers
Kelly Oubre Jr.,SF,Charlotte Hornets
Eric Paschall,F,Minnesota Timberwolves
Chris Paul,PG,Phoenix Suns
Cameron Payne,G,Phoenix Suns
Gary Payton II,G,Portland Trail Blazers
Theo Pinson,SG,Dallas Mavericks
"Scotty Pippen, Jr.",G,Los Angeles Lakers
Mason Plumlee,PF,Charlotte Hornets
Jakob Poeltl,C,San Antonio Spurs
Aleksej Pokusevski,C,Oklahoma City Thunder
Jordan Poole,SG,Golden State Warriors
Kevin Porter Jr.,SF,Houston Rockets
Michael Porter Jr.,PF,Denver Nuggets
Otto Porter Jr.,SF,Toronto Raptors
Bobby Portis,PF,Milwaukee Bucks
Kristaps Porziņģis,FC,Washington Wizards
Micah Potter,C,Utah Jazz
Dwight Powell,PF,Dallas Mavericks
Norman Powell,SG,Los Angeles Clippers
Jason Preston,G,Los Angeles Clippers
Joshua Primo,G,San Antonio Spurs
Taurean Prince,F,Minnesota Timberwolves
Payton Pritchard,PG,Boston Celtics
Trevelin Queen,G,Indiana Pacers
Neemias Queta,C,Sacramento Kings
Immanuel Quickley,PG,New York Knicks
Julius Randle,PF,New York Knicks
Austin Reaves,PG,Los Angeles Lakers
Cam Reddish,G,New York Knicks
Davon Reed,SF,Denver Nuggets
Paul Reed,F,Philadelphia Sixers
Naz Reid,C,Minnesota Timberwolves
Nick Richards,C,Charlotte Hornets
Josh Richardson,G,San Antonio Spurs
Austin Rivers,SG,Minnesota Timberwolves
Duncan Robinson,F,Miami Heat
Mitchell Robinson,C,New York Knicks
Jeremiah Robinson-Earl,PF,Oklahoma City Thunder
Isaiah Roby,SF,San Antonio Spurs
David Roddy,F,Memphis Grizzlies
Ryan Rollins,G,Golden State Warriors
Derrick Rose,PG,New York Knicks
Terrence Ross,SF,Orlando Magic
Terry Rozier,G,Charlotte Hornets
Ricky Rubio,G,Cleveland Cavaliers
D'Angelo Russell,SG,Minnesota Timberwolves
Matt Ryan,SF,Los Angeles Lakers
Domantas Sabonis,PF,Sacramento Kings
Dario Saric,SF,Phoenix Suns
Olivier Sarr,FC,Portland Trail Blazers
Jordan Schakel,SF,Washington Wizards
Admiral Schofield,SF,Orlando Magic
Dennis Schröder,PG,Los Angeles Lakers
Dereon Seabron,SG,New Orleans Pelicans
Alperen Şengün,C,Houston Rockets
Collin Sexton,PG,Utah Jazz
Landry Shamet,PG,Phoenix Suns
Day'Ron Sharpe,PF,Brooklyn Nets
Shaedon Sharpe,F,Portland Trail Blazers
Pascal Siakam,F,Toronto Raptors
Ben Simmons,PF,Brooklyn Nets
Marko Simonovic,C,Chicago Bulls
Anfernee Simons,SG,Portland Trail Blazers
Jericho Sims,C,New York Knicks
Marcus Smart,PG,Boston Celtics
Jabari Smith,F,Houston Rockets
Dennis Smith Jr.,PG,Charlotte Hornets
Dru Smith,SG,Miami Heat
Ish Smith,PG,Denver Nuggets
Jalen Smith,C,Indiana Pacers
Jeremy Sochan,SG,San Antonio Spurs
Jaden Springer,SG,Philadelphia Sixers
Lamar Stevens,SF,Cleveland Cavaliers
Isaiah Stewart,C,Detroit Pistons
Max Strus,G,Miami Heat
Jalen Suggs,SG,Orlando Magic
Edmond Sumner,G,Brooklyn Nets
Cole Swider,F,Los Angeles Lakers
Jae'Sean Tate,F,Houston Rockets
Jayson Tatum,SF,Boston Celtics
Terry Taylor,GF,Indiana Pacers
Garrett Temple,G,New Orleans Pelicans
Dalen Terry,PG,Chicago Bulls
Daniel Theis,C,Indiana Pacers
Cam Thomas,PG,Brooklyn Nets
Klay Thompson,G,Golden State Warriors
JT Thor,PF,Charlotte Hornets
Matisse Thybulle,SF,Philadelphia Sixers
Xavier Tillman Sr.,PF,Memphis Grizzlies
Isaiah Todd,PF,Washington Wizards
Obi Toppin,F,New York Knicks
Juan Toscano-Anderson,F,Los Angeles Lakers
Karl-Anthony Towns,C,Minnesota Timberwolves
Gary Trent Jr.,SG,Toronto Raptors
P.J. Tucker,SF,Philadelphia Sixers
Myles Turner,FC,Indiana Pacers
Jonas Valančiūnas,C,New Orleans Pelicans
Fred VanVleet,G,Toronto Raptors
Jarred Vanderbilt,PF,Utah Jazz
Devin Vassell,SG,San Antonio Spurs
Gabe Vincent,G,Miami Heat
Noah Vonleh,FC,Boston Celtics
Nikola Vučević,PF,Chicago Bulls
Dean Wade,PF,Cleveland Cavaliers
Franz Wagner,SF,Orlando Magic
Moritz Wagner,PF,Orlando Magic
Ish Wainright,GF,Phoenix Suns
Jabari Walker,F,Portland Trail Blazers
Lonnie Walker IV,SG,Los Angeles Lakers
John Wall,PG,Los Angeles Clippers
T.J. Warren,F,Brooklyn Nets
Duane Washington Jr.,G,Phoenix Suns
"TyTy Washington, Jr.",PG,Houston Rockets
P.J. Washington,PF,Charlotte Hornets
Yuta Watanabe,F,Brooklyn Nets
Lindy Waters III,SG,Oklahoma City Thunder
Trendon Watford,SF,Portland Trail Blazers
Peyton Watson,GF,Denver Nuggets
Blake Wesley,SG,San Antonio Spurs
Russell Westbrook,G,Los Angeles Lakers
Coby White,PG,Chicago Bulls
Derrick White,G,Boston Celtics
Jack White,SF,Denver Nuggets
Aaron Wiggins,F,Oklahoma City Thunder
Andrew Wiggins,F,Golden State Warriors
Alondes Williams,G,Brooklyn Nets
Grant Williams,SF,Boston Celtics
Jalen Williams,G,Oklahoma City Thunder
Jaylin Williams,C,Oklahoma City Thunder
"Vincent Williams, Jr.",SF,Memphis Grizzlies
Kenrich Williams,SF,Oklahoma City Thunder
Mark Williams,C,Charlotte Hornets
Patrick Williams,G,Chicago Bulls
Robert Williams,PF,Boston Celtics
Ziaire Williams,F,Memphis Grizzlies
Zion Williamson,PF,New Orleans Pelicans
Dylan Windler,SF,Cleveland Cavaliers
Justise Winslow,SF,Portland Trail Blazers
James Wiseman,C,Golden State Warriors
Christian Wood,PF,Dallas Mavericks
McKinley Wright IV,PG,Dallas Mavericks
Delon Wright,G,Washington Wizards
Thaddeus Young,F,Toronto Raptors
Trae Young,PG,Atlanta Hawks
Omer Yurtseven,C,Miami Heat
Ivica Zubac,C,Los Angeles Clippers
